timestamp_utc,broker,symbol,bid,ask,spread,unit,feed_type,source
2026-08-31T17:02:20.184Z,pepperstone,USDJPY,159.692,159.692,0,pips,unspecified,broker-published
2026-08-31T17:02:29.400Z,pepperstone,USDJPY,159.69,159.691,0.1,pips,unspecified,broker-published
2026-08-31T17:02:36.737Z,pepperstone,USDJPY,159.694,159.695,0.1,pips,unspecified,broker-published
2026-08-31T17:02:44.123Z,pepperstone,USDJPY,159.695,159.695,0,pips,unspecified,broker-published
2026-08-31T17:03:02.695Z,pepperstone,USDJPY,159.686,159.687,0.1,pips,unspecified,broker-published
2026-08-31T17:03:10.149Z,pepperstone,USDJPY,159.684,159.684,0,pips,unspecified,broker-published
2026-08-31T17:03:17.453Z,pepperstone,USDJPY,159.684,159.684,0,pips,unspecified,broker-published
2026-08-31T17:03:44.907Z,pepperstone,USDJPY,159.682,159.682,0,pips,unspecified,broker-published
2026-08-31T17:03:52.293Z,pepperstone,USDJPY,159.684,159.684,0,pips,unspecified,broker-published
2026-08-31T17:04:00.034Z,pepperstone,USDJPY,159.684,159.685,0.1,pips,unspecified,broker-published
2026-08-31T17:04:07.570Z,pepperstone,USDJPY,159.689,159.69,0.1,pips,unspecified,broker-published
2026-08-31T17:04:14.884Z,pepperstone,USDJPY,159.689,159.69,0.1,pips,unspecified,broker-published
