timestamp_utc,broker,symbol,bid,ask,spread,unit,feed_type,source
2026-08-14T15:38:58.696Z,dukascopy,BRENTUSD,87.786,87.836,0.05,usd,unspecified,broker-published
2026-08-14T15:39:06.706Z,dukascopy,BRENTUSD,87.806,87.856,0.05,usd,unspecified,broker-published
2026-08-14T15:39:14.730Z,dukascopy,BRENTUSD,87.796,87.846,0.05,usd,unspecified,broker-published
2026-08-14T15:39:22.834Z,dukascopy,BRENTUSD,87.796,87.846,0.05,usd,unspecified,broker-published
2026-08-14T15:39:31.047Z,dukascopy,BRENTUSD,87.796,87.846,0.05,usd,unspecified,broker-published
2026-08-14T15:39:38.973Z,dukascopy,BRENTUSD,87.796,87.846,0.05,usd,unspecified,broker-published
2026-08-14T15:39:47.073Z,dukascopy,BRENTUSD,87.796,87.846,0.05,usd,unspecified,broker-published
2026-08-14T15:39:54.970Z,dukascopy,BRENTUSD,87.796,87.846,0.05,usd,unspecified,broker-published
2026-08-14T15:40:02.817Z,dukascopy,BRENTUSD,87.826,87.876,0.05,usd,unspecified,broker-published
2026-08-14T15:40:10.654Z,dukascopy,BRENTUSD,87.826,87.876,0.05,usd,unspecified,broker-published
2026-08-14T15:40:18.645Z,dukascopy,BRENTUSD,87.845,87.895,0.05,usd,unspecified,broker-published
2026-08-14T15:40:26.544Z,dukascopy,BRENTUSD,87.836,87.886,0.05,usd,unspecified,broker-published
2026-08-14T15:40:34.461Z,dukascopy,BRENTUSD,87.846,87.896,0.05,usd,unspecified,broker-published
2026-08-14T15:40:42.434Z,dukascopy,BRENTUSD,87.866,87.916,0.05,usd,unspecified,broker-published
