timestamp_utc,broker,symbol,bid,ask,spread,unit,feed_type,source
2026-08-14T15:38:58.696Z,dukascopy,WTIUSD,81.63,81.68,0.05,usd,unspecified,broker-published
2026-08-14T15:39:06.706Z,dukascopy,WTIUSD,81.64,81.69,0.05,usd,unspecified,broker-published
2026-08-14T15:39:14.730Z,dukascopy,WTIUSD,81.63,81.68,0.05,usd,unspecified,broker-published
2026-08-14T15:39:22.834Z,dukascopy,WTIUSD,81.63,81.68,0.05,usd,unspecified,broker-published
2026-08-14T15:39:31.047Z,dukascopy,WTIUSD,81.63,81.68,0.05,usd,unspecified,broker-published
2026-08-14T15:39:38.973Z,dukascopy,WTIUSD,81.63,81.68,0.05,usd,unspecified,broker-published
2026-08-14T15:39:47.073Z,dukascopy,WTIUSD,81.635,81.685,0.05,usd,unspecified,broker-published
2026-08-14T15:39:54.970Z,dukascopy,WTIUSD,81.635,81.685,0.05,usd,unspecified,broker-published
2026-08-14T15:40:02.817Z,dukascopy,WTIUSD,81.665,81.715,0.05,usd,unspecified,broker-published
2026-08-14T15:40:10.654Z,dukascopy,WTIUSD,81.655,81.705,0.05,usd,unspecified,broker-published
2026-08-14T15:40:18.645Z,dukascopy,WTIUSD,81.67,81.72,0.05,usd,unspecified,broker-published
2026-08-14T15:40:26.544Z,dukascopy,WTIUSD,81.66,81.71,0.05,usd,unspecified,broker-published
2026-08-14T15:40:34.461Z,dukascopy,WTIUSD,81.675,81.725,0.05,usd,unspecified,broker-published
2026-08-14T15:40:42.434Z,dukascopy,WTIUSD,81.685,81.735,0.05,usd,unspecified,broker-published
