timestamp_utc,broker,symbol,bid,ask,spread,unit,feed_type,source
2026-08-14T15:38:58.696Z,dukascopy,GBPUSD,1.35508,1.35514,0.6,pips,unspecified,broker-published
2026-08-14T15:39:06.706Z,dukascopy,GBPUSD,1.35508,1.35514,0.6,pips,unspecified,broker-published
2026-08-14T15:39:14.730Z,dukascopy,GBPUSD,1.35503,1.35511,0.8,pips,unspecified,broker-published
2026-08-14T15:39:22.834Z,dukascopy,GBPUSD,1.35507,1.35514,0.7,pips,unspecified,broker-published
2026-08-14T15:39:31.047Z,dukascopy,GBPUSD,1.35506,1.35512,0.6,pips,unspecified,broker-published
2026-08-14T15:39:38.973Z,dukascopy,GBPUSD,1.35506,1.35512,0.6,pips,unspecified,broker-published
2026-08-14T15:39:47.073Z,dukascopy,GBPUSD,1.35505,1.35513,0.8,pips,unspecified,broker-published
2026-08-14T15:39:54.970Z,dukascopy,GBPUSD,1.35508,1.35513,0.5,pips,unspecified,broker-published
2026-08-14T15:40:02.817Z,dukascopy,GBPUSD,1.35506,1.35512,0.6,pips,unspecified,broker-published
2026-08-14T15:40:10.654Z,dukascopy,GBPUSD,1.35504,1.3551,0.6,pips,unspecified,broker-published
2026-08-14T15:40:18.645Z,dukascopy,GBPUSD,1.35495,1.35501,0.6,pips,unspecified,broker-published
2026-08-14T15:40:26.544Z,dukascopy,GBPUSD,1.35496,1.35501,0.5,pips,unspecified,broker-published
2026-08-14T15:40:34.461Z,dukascopy,GBPUSD,1.35496,1.35501,0.5,pips,unspecified,broker-published
2026-08-14T15:40:42.434Z,dukascopy,GBPUSD,1.35494,1.35501,0.7,pips,unspecified,broker-published
