timestamp_utc,broker,symbol,bid,ask,spread,unit,feed_type,source
2026-08-14T15:38:58.696Z,dukascopy,XAUUSD,4386.895,4387.525,0.63,usd,unspecified,broker-published
2026-08-14T15:39:06.706Z,dukascopy,XAUUSD,4386.875,4387.485,0.61,usd,unspecified,broker-published
2026-08-14T15:39:14.730Z,dukascopy,XAUUSD,4387.095,4387.715,0.62,usd,unspecified,broker-published
2026-08-14T15:39:22.834Z,dukascopy,XAUUSD,4387.565,4388.185,0.62,usd,unspecified,broker-published
2026-08-14T15:39:31.047Z,dukascopy,XAUUSD,4387.715,4388.335,0.62,usd,unspecified,broker-published
2026-08-14T15:39:38.973Z,dukascopy,XAUUSD,4387.945,4388.515,0.57,usd,unspecified,broker-published
2026-08-14T15:39:47.073Z,dukascopy,XAUUSD,4388.045,4388.665,0.62,usd,unspecified,broker-published
2026-08-14T15:39:54.970Z,dukascopy,XAUUSD,4388.195,4388.815,0.62,usd,unspecified,broker-published
2026-08-14T15:40:02.817Z,dukascopy,XAUUSD,4387.395,4388.015,0.62,usd,unspecified,broker-published
2026-08-14T15:40:10.654Z,dukascopy,XAUUSD,4387.215,4387.835,0.62,usd,unspecified,broker-published
2026-08-14T15:40:18.645Z,dukascopy,XAUUSD,4386.985,4387.605,0.62,usd,unspecified,broker-published
2026-08-14T15:40:26.544Z,dukascopy,XAUUSD,4386.775,4387.385,0.61,usd,unspecified,broker-published
2026-08-14T15:40:34.461Z,dukascopy,XAUUSD,4387.485,4388.105,0.62,usd,unspecified,broker-published
2026-08-14T15:40:42.434Z,dukascopy,XAUUSD,4387.515,4388.135,0.62,usd,unspecified,broker-published
