timestamp_utc,broker,symbol,bid,ask,spread,unit,feed_type,source
2026-08-14T15:38:59.335Z,pepperstone,XAUUSD,4386.84,4386.92,0.08,usd,unspecified,broker-published
2026-08-14T15:39:07.427Z,pepperstone,XAUUSD,4387.42,4387.51,0.09,usd,unspecified,broker-published
2026-08-14T15:39:15.417Z,pepperstone,XAUUSD,4387.23,4387.32,0.09,usd,unspecified,broker-published
2026-08-14T15:39:23.529Z,pepperstone,XAUUSD,4388.16,4388.25,0.09,usd,unspecified,broker-published
2026-08-14T15:39:31.732Z,pepperstone,XAUUSD,4388.31,4388.4,0.09,usd,unspecified,broker-published
2026-08-14T15:39:39.606Z,pepperstone,XAUUSD,4388.14,4388.23,0.09,usd,unspecified,broker-published
2026-08-14T15:39:47.719Z,pepperstone,XAUUSD,4388.45,4388.53,0.08,usd,unspecified,broker-published
2026-08-14T15:39:55.469Z,pepperstone,XAUUSD,4388.22,4388.3,0.08,usd,unspecified,broker-published
2026-08-14T15:40:03.366Z,pepperstone,XAUUSD,4387.41,4387.5,0.09,usd,unspecified,broker-published
2026-08-14T15:40:11.317Z,pepperstone,XAUUSD,4387.32,4387.41,0.09,usd,unspecified,broker-published
2026-08-14T15:40:19.284Z,pepperstone,XAUUSD,4386.99,4387.08,0.09,usd,unspecified,broker-published
2026-08-14T15:40:27.217Z,pepperstone,XAUUSD,4388.14,4388.23,0.09,usd,unspecified,broker-published
2026-08-14T15:40:35.167Z,pepperstone,XAUUSD,4387.94,4388.04,0.1,usd,unspecified,broker-published
2026-08-14T15:40:43.003Z,pepperstone,XAUUSD,4387.75,4387.84,0.09,usd,unspecified,broker-published
