timestamp_utc,broker,symbol,bid,ask,spread,unit,feed_type,source
2026-08-19T14:47:46.890Z,dukascopy,NAS100,29472.921,29473.968,1.047,usd,unspecified,broker-published
2026-08-19T14:47:56.212Z,dukascopy,NAS100,29468.665,29469.411,0.746,usd,unspecified,broker-published
2026-08-19T14:48:05.276Z,dukascopy,NAS100,29463.465,29464.211,0.746,usd,unspecified,broker-published
2026-08-19T14:48:12.946Z,dukascopy,NAS100,29464.487,29465.479,0.992,usd,unspecified,broker-published
2026-08-19T14:48:20.485Z,dukascopy,NAS100,29460.532,29461.311,0.779,usd,unspecified,broker-published
2026-08-19T14:48:28.031Z,dukascopy,NAS100,29466.143,29467.19,1.047,usd,unspecified,broker-published
2026-08-19T14:48:35.473Z,dukascopy,NAS100,29473.486,29474.402,0.916,usd,unspecified,broker-published
2026-08-19T14:48:44.130Z,dukascopy,NAS100,29473.609,29474.59,0.981,usd,unspecified,broker-published
2026-08-19T14:48:53.992Z,dukascopy,NAS100,29455.608,29456.558,0.95,usd,unspecified,broker-published
2026-08-19T14:49:02.681Z,dukascopy,NAS100,29454.521,29455.503,0.982,usd,unspecified,broker-published
2026-08-19T14:49:10.221Z,dukascopy,NAS100,29451.753,29452.691,0.938,usd,unspecified,broker-published
2026-08-19T14:49:18.869Z,dukascopy,NAS100,29443.286,29444.257,0.971,usd,unspecified,broker-published
