timestamp_utc,broker,symbol,bid,ask,spread,unit,feed_type,source
2026-09-17T06:00:14.243Z,dukascopy,ETHUSD,2432.2,2436.2,4,usd,unspecified,broker-published
2026-09-17T06:00:22.001Z,dukascopy,ETHUSD,2433.3,2437.3,4,usd,unspecified,broker-published
2026-09-17T06:00:43.025Z,dukascopy,ETHUSD,2433.1,2437.1,4,usd,unspecified,broker-published
2026-09-17T06:00:54.624Z,dukascopy,ETHUSD,2432.2,2436.2,4,usd,unspecified,broker-published
2026-09-17T06:01:02.278Z,dukascopy,ETHUSD,2432.6,2436.6,4,usd,unspecified,broker-published
2026-09-17T06:01:10.198Z,dukascopy,ETHUSD,2433,2437,4,usd,unspecified,broker-published
2026-09-17T06:01:17.965Z,dukascopy,ETHUSD,2434.1,2438.1,4,usd,unspecified,broker-published
2026-09-17T06:01:25.533Z,dukascopy,ETHUSD,2432.9,2436.9,4,usd,unspecified,broker-published
2026-09-17T06:01:33.104Z,dukascopy,ETHUSD,2432.8,2436.8,4,usd,unspecified,broker-published
2026-09-17T06:01:40.780Z,dukascopy,ETHUSD,2433.1,2437.1,4,usd,unspecified,broker-published
2026-09-17T06:01:48.346Z,dukascopy,ETHUSD,2434.8,2438.8,4,usd,unspecified,broker-published
2026-09-17T06:01:55.984Z,dukascopy,ETHUSD,2434.9,2438.9,4,usd,unspecified,broker-published
