timestamp_utc,broker,symbol,bid,ask,spread,unit,feed_type,source
2026-09-25T18:31:05.925Z,dukascopy,BRENTUSD,97.14,97.19,0.05,usd,unspecified,broker-published
2026-09-25T18:31:13.313Z,dukascopy,BRENTUSD,97.175,97.225,0.05,usd,unspecified,broker-published
2026-09-25T18:31:20.697Z,dukascopy,BRENTUSD,97.175,97.225,0.05,usd,unspecified,broker-published
2026-09-25T18:31:28.172Z,dukascopy,BRENTUSD,97.155,97.205,0.05,usd,unspecified,broker-published
2026-09-25T18:31:35.747Z,dukascopy,BRENTUSD,97.13,97.18,0.05,usd,unspecified,broker-published
2026-09-25T18:31:43.172Z,dukascopy,BRENTUSD,97.155,97.205,0.05,usd,unspecified,broker-published
2026-09-25T18:31:50.589Z,dukascopy,BRENTUSD,97.175,97.225,0.05,usd,unspecified,broker-published
2026-09-25T18:31:58.045Z,dukascopy,BRENTUSD,97.155,97.205,0.05,usd,unspecified,broker-published
2026-09-25T18:32:05.490Z,dukascopy,BRENTUSD,97.155,97.205,0.05,usd,unspecified,broker-published
2026-09-25T18:32:12.894Z,dukascopy,BRENTUSD,97.125,97.175,0.05,usd,unspecified,broker-published
2026-09-25T18:32:20.209Z,dukascopy,BRENTUSD,97.175,97.225,0.05,usd,unspecified,broker-published
2026-09-25T18:32:27.937Z,dukascopy,BRENTUSD,97.2,97.25,0.05,usd,unspecified,broker-published
